ID,Ticker,chinese_columns,資料轉換方式,signal_points,LongShort,Datestart,Date_End,0_points,1_points,accuracy,precision,recall,f1_score
219,UNRATE,失業率,Q,signal_points_2,short,2000-01-04,2023-06-30,2588,450,0.5222623345367028,0.17928286852589642,0.3849443969204448,0.24463169339494428
21,GDPC1,國內生產總值,M,signal_points_1,long,2000-01-04,2023-06-30,3605,184,0.6513666838576586,0.1546218487394958,0.15257048092868988,0.15358931552587646
221,UNRATE,失業率,W,signal_points_2,long,2000-01-04,2023-06-30,4218,75,0.738009283135637,0.16025641025641027,0.06218905472636816,0.08960573476702509
223,UNRATE,失業率,W,signal_points_2,short,2000-01-04,2023-06-30,4269,89,0.7491834278837889,0.19017094017094016,0.07613344739093242,0.10873549175320708
225,FEDFUNDS,聯邦基金利率,D,signal_points_3,long,2000-01-04,2023-06-30,4536,18,0.7828777720474471,0.1935483870967742,0.014925373134328358,0.02771362586605081
227,FEDFUNDS,聯邦基金利率,D,signal_points_3,short,2000-01-04,2023-06-30,4564,9,0.7861440605122916,0.0967741935483871,0.007698887938408896,0.014263074484944533
229,FEDFUNDS,聯邦基金利率,M,signal_points_3,long,2000-01-04,2023-06-30,2876,403,0.5636926250644663,0.18849391955098221,0.3341625207296849,0.2410287081339713
231,FEDFUNDS,聯邦基金利率,M,signal_points_3,short,2000-01-04,2023-06-30,2727,217,0.506102802131683,0.10149672591206735,0.18562874251497005,0.1312367704868461
233,FEDFUNDS,聯邦基金利率,Q,signal_points_3,long,2000-01-04,2023-06-30,2963,592,0.6111397627643115,0.2642857142857143,0.49087893864013266,0.3435867672663958
235,FEDFUNDS,聯邦基金利率,Q,signal_points_3,short,2000-01-04,2023-06-30,2742,334,0.5287949114663916,0.14910714285714285,0.2857142857142857,0.19595189205045468
237,FEDFUNDS,聯邦基金利率,W,signal_points_3,long,2000-01-04,2023-06-30,4191,86,0.7352587244283996,0.16996047430830039,0.07131011608623548,0.10046728971962617
239,FEDFUNDS,聯邦基金利率,W,signal_points_3,short,2000-01-04,2023-06-30,4199,57,0.7316486161251504,0.11264822134387352,0.04875962360992301,0.06805970149253732
23,GDPC1,國內生產總值,M,signal_points_1,short,2000-01-04,2023-06-30,3662,204,0.6646037476362386,0.17142857142857143,0.174508126603935,0.17295464179737177
241,GDPC1,國內生產總值,D,signal_points_3,long,2000-01-04,2023-06-30,4564,6,0.7856283307546845,0.11320754716981132,0.004975124378109453,0.009531374106433678
243,GDPC1,國內生產總值,D,signal_points_3,short,2000-01-04,2023-06-30,4605,10,0.7933642771187898,0.18867924528301888,0.00855431993156544,0.016366612111292964
245,GDPC1,國內生產總值,M,signal_points_3,long,2000-01-04,2023-06-30,3605,184,0.6513666838576586,0.1546218487394958,0.15257048092868988,0.15358931552587646
247,GDPC1,國內生產總值,M,signal_points_3,short,2000-01-04,2023-06-30,3662,204,0.6646037476362386,0.17142857142857143,0.174508126603935,0.17295464179737177
249,GDPC1,國內生產總值,Q,signal_points_3,long,2000-01-04,2023-06-30,1530,518,0.3520715145263882,0.14392886913031397,0.4295190713101161,0.21560874089490115
251,GDPC1,國內生產總值,Q,signal_points_3,short,2000-01-04,2023-06-30,1762,713,0.4254770500257865,0.198110586273965,0.6099230111206159,0.2990771812080537
253,GDPC1,國內生產總值,W,signal_points_3,long,2000-01-04,2023-06-30,4396,46,0.7636238610967853,0.17624521072796934,0.03814262023217247,0.0627130197682345
255,GDPC1,國內生產總值,W,signal_points_3,short,2000-01-04,2023-06-30,4429,42,0.7686092487536531,0.16091954022988506,0.03592814371257485,0.05874125874125874
257,GS10,10年期國債收益率,D,signal_points_3,long,2000-01-04,2023-06-30,4532,11,0.7809867629362214,0.12222222222222222,0.00912106135986733,0.016975308641975308
259,GS10,10年期國債收益率,D,signal_points_3,short,2000-01-04,2023-06-30,4575,17,0.789410348977136,0.18888888888888888,0.01454234388366125,0.027005559968228753
25,GDPC1,國內生產總值,Q,signal_points_1,long,2000-01-04,2023-06-30,1530,518,0.3520715145263882,0.14392886913031397,0.4295190713101161,0.21560874089490115
261,GS10,10年期國債收益率,M,signal_points_3,long,2000-01-04,2023-06-30,2804,280,0.5301701908200103,0.13416387158600862,0.23217247097844113,0.17005769814758578
263,GS10,10年期國債收益率,M,signal_points_3,short,2000-01-04,2023-06-30,3022,461,0.5987622485817432,0.2208912314326785,0.3943541488451668,0.2831695331695332
